Subject,Category
dma white paper price cap extension market participants yesterday market issues forum presented discussion long term price cap authority matter discussion previously granted authority ferc expires nov 15 2000 attached white paper discussing topic seek board approval matter september 6 7 board meeting comments paper please forward keith casey kcasey caiso com fuller director client relations dma price cap aug10 final doc dma price cap aug10 final doc,california
caiso notice stakeholder comments august 16 18 cmr meeting greetings stakeholders comments august 16 18 meetings comprehensive market redesign cmr recommendation posted http www caiso com clientserv congestionreform html http www caiso com clientserv congestionreform html byron woertz director client relations,california
governor press conference shot across bow appears pattern forming administration seems make 20 scene prior large events e g davis letters calling wholesal e 20 caps prior iso board vote eve joint 20 assembly senate hearing scheduled today late breaking news heels press conference 20 received late last evening loretta lynch chief staff copy 20 proposed decision lynch release today reversing last thursday decisi 20 rejecting 0 5 retail price caps san diego draft decision 20 proposes would establish interim retail rate cap sdg e 20 residential small commercial customers proposes use balanci ng 20 account finance cap though looks like interim cap would 20 extend december 2003 one place decision state 20 cap extend december 2000 karen edson kedson ns net 08 09 2000 06 58 13 pm baker carolyn e mail cabaker duke energy com bill carlson 20 e mail william carlson wastemanagement com bill woods e mail 20 billw calpine com curt hatton e mail curt hatton gen pge com 20 curtis kebler e mail curtis l kebler reliantenergy com david keane 20 e mail dnke dynegy com david parquet e mail 20 dparque ect enron com duane nelsen e mail duanenelsen msn com ed 20 tomeo e mail ed tomeo uaecorp com edward maddox e mail 20 emaddox seawestwindpower com eileen kock e mail eileenk calpine com 20 ellery bob e mail bellery spi ind com escalante bob e mail 20 riobravogm aol com frank derosa e mail 20 fderosa sanfrancisco usgen com greg blue e mail gtbl dynegy com 20 hap boyd e mail rboyd enron com jack pigott e mail 20 jackp calpine com jan smunty jones e mail smutny iepa com jim 20 willey e mail elliottsa earthlink net joe greco e mail 20 joe greco uaecorp com joe ronan e mail joer calpine com john sto ut 20 e mail john h stout reliantenergy com jonathan weisgall e mail 20 jweisgall aol com katie kaplan e mail kaplan iepa com kent ficke tt 20 e mail kfickett usgen com lynn lednicky e mail lale dynegy com 20 marty mcfadden e mail marty mcfadden ogden energy com paula soos 20 e mail paula soos ogden energy com robert lamkin e mail 20 rllamkin seiworldwide com roger pelote e mail 20 rpelote energy twc com steve ponder e mail steve ponder fpl com 20 steven kelly e mail steven iepa com sue mara e mail 20 smara enron com tony wetzel e mail twetzel thermoecotek com tron 20 aschehoug e mail taschehoug thermoecotek com william hall e mail 20 wfhall2 duke energy com richard hyde e mail rwhyde duke energy com 20 sandi mccubbin e mail smccubbi ees enron com stephanie newell 20 e mail stephanie newell reliantenergy com glenn r etienne e mail 20 gret dynegy com nick wallace e mail njwa dynegy com cc ann kelly e mail kelly hnks com bev hansen e mail 20 bhansen lhom com bob judd e mail caltech ns net govenar scott 20 e mail sgovenar govadv com hedy govenar e mail 20 hgovenar govadv com levake barbara e mail blevake syix com monag 20 mike e mail mrmonagan aol com rob ross e mail robbiz cwo com 20 ron tom e mail rtom govadv com rudman cary e mail 20 cjrudman softcom net susan mccabe e mail sfmccabe mindspring com 20 subject governor press conference shot across bow governor davis held press conference today accused state generators price gouging market manipulation called ferc expedite investigation market provide consumer rebates ferc cannot conclude california prices reasonable notes press conference attached governor press release karen edson notes gov davis 01 press conference opening statement record hot temperatures lack supply price manipulation created th e crisis electricity life blood state economy governor responded several recent steps among request ag ferc examine price manipulation 1st point calling cpuc establish price stability rate consumers business intent reduce rates 55 65 mo next year two point unclear mean rates bills customers need predictable reliable affordable rates 2nd point governor called president clinton chairman hoecker expedite n investigation unconscionable rates charged state generators california utilities governor wants ferc make evidentiary findings rates reasonable ferc 01 make findings wants require consumer rebates portion comments reflected attached press release taken right script senator steve peace 3rd point believes deregulation work generators must held responsible gouging extorting must pay price karen edson kedson ns net 916 552 7070 governor press release 8 10 doc,california
caiso notification request comments regarding adjustable int er sc trades result delay 10 minute settlements members sc technical development staff via tswg expressed strong concern short time scheduled release 10 minute settlements adjustable inter sc trades functionality adjustable inter sc trades currently scheduled september 11 release adjustable inter sc trade functionality identified market participants important functionality released asap prior iso making final decisiions propsoed schedule changes rollout adjustable inter sc trade functionality iso seeking additional feedback business technical sides market participants please provide recommendation impact change scheduled rollout 2 3 weeks adjustable inter sc trades would business systems jim blatchford friday august 11 mark rothleder manager market operations caiso,california
caiso notice executive summary stakeholder comments market participants iso posted web site executive summary stakeholders comments well compilation comments received prior august 1 iso governing board meeting view documents http www caiso com clientserv congestionreform html regards byron woertz director client relations,california
caiso congestion model put congestion redesign file alread forwarded tim belden hou ect 08 08 2000 09 55 susan j mara ees 05 16 2000 08 33 steven j kean hou ees ees richard shapiro hou ees ees tim belden hou ect ect joe hartsoe corp enron enron cc subject caiso congestion model carl working enron others iso develop model works ca well desert southwest iso would operate think summary explains kinds things trying get congestion management reform send things look forwarded susan j mara sfo ees 05 16 2000 10 28 carl imparato 04 24 2000 12 49 26 pm sent carl imparato zalaywan caiso com cc smara enron com curt hatton gen pge com jim filippi gen pge com gackerman wptf org alexp eccointl com kewh dynegy com skelly iepa com jstremel apx com bmspeckman aol com subject caiso congestion model ziad per conversation morning attached summary view key attributes reformed zonal congestion model document fully address issues discussed last thursday congestion reform meeting sacramento believe details consistent iso many market participants proposing summary necessarily reflect views clients yet time review believe would far sending summary put context many comments offered last thursday meeting also support view iso implement cong asm integration decentralizing process rather centralizing process would much difference advocating southwest caiso model primary remaining differences would way hour ahead process works e continuously vs one discrete time ii way scheduling done e iso would act sc representative acquiring rights could made available inter zonal counterflows since scs would real possibility agreement iso longer term plans whether integration transmission rights ancillary services procurement rely decentralization vs centralization could bring together models region carl sue curt jim gary alex kent steven john barney appreciate feedback want see sure send cfi1 tca us com enron address e mail sent carl,california
stakeholder meeting san diego meeting notice cal iso market participants sdg e stakeholders cal iso stakeholder meeting held san diego wednesday august 23 2000 discuss preliminary study results sdg e annual five year transmission expansion plan detailed studies conducted valley rainbow 500 kv project meeting held sempra energy corporate headquarters auditorium 3 101 ash street corner first ave ash st san diego california 92101 9 30 2 30 pm lunch provided information subject please refer iso web site www caiso com documents pertaining 2000 sdg e transmission expansion plan located http www caiso com docs 2000 02 28 2000022816421912528 html map showing directions sempra energy office location airport available upon request plan attend meeting please rsvp dave miller telephone number e mail address shown wednesday august 16 2000 david miller jr telephone 858 654 8623 e mail dmmiller sdge com fax 858 654 8636 questions regarding meeting arrangements please contact david miller questions regarding studies please contact steve mavis 916 351 2112 smavis caiso com fuller director client relations 916 608 7055 dfuller caiso com,california
caiso notice cmr stakeholder meetings august 16 18 market participants announced previously iso hold congestion management reform stakeholder meetings august 16 18 meetings take place caiso headquarters 101 blue ravine road folsom attending call information follows wednesday august 16th number 877 381 6004 passcode 668666 leader name byron woertz thursday august 17th number 877 381 6004 passcode 817904 leader name byron woertz friday august 18th number 877 381 6004 passcode 668236 leader name byron woertz meetings address ftrs day ahead hour ahead congestion management recallable transmission real time operations new generator interconnection policy long term grid planning questions issues local reliability service arose july 25 stakeholder meeting send specific agenda soon available day start continental breakfast 8 30a meetings start 9 00 serving lunch approximately 12noon order make sure order enough food adequate seating computers entering feedback request rsvp later monday august 7th cgrant caiso com also meet august 25 discuss iso final recommendation iso governing board details meeting sent get closer meeting date byron woertz director client relations,california
caiso notice release public bid data market participants pursuant iso governing board decision october 1999 ferc ruling march 2000 iso begun releasing market bid information lagged six month period without revealing names bidders beginning august 1 2000 operating date february 1 2000 bid data provided iso ancillary service markets real time energy market congestion management market data found iso web site http www caiso com marketops oasis http www caiso com marketops oasis updated daily byron woertz director client relations,california
information iso would categorize things following manner day ahead markets want bid information e g ancillary service markets transmission markets generation adjustment bids load adjustment bids import adjustment bids export adjustment bids initial preferred schedules final schedules hour ahead markets want thing real time market want bid information beep dispatch instructions fact want actual meter information get actual unit unit production load zone consumption per bob badeer want see transmission information broken new firm use existing transmission contracts need adjustment bids day ahead schedules hour ahead schedules real time adjustments actual flows transmission availability category ownership etcs nfu want transmission lines unit outage information planned outages forced outages rmr calls forwarded tim belden hou ect 08 01 2000 06 14 robert badeer 07 31 2000 04 05 pm jeff dasovich sfo ees ees cc tim belden hou ect ect jeff richter hou ect ect subject information iso jeff tim told put together list inormation would want iso general rule want information released highlights 1 etc schedules transmission line da ha want see etc schedules time submitted iso following paths path 15 b path 26 c nw1 nw3 e az2 f az3 g lc1 2 actual flows path real time flows 3 many mw get cut path da e many mw adjustment bid stack 4 intrazonal cong paths intra zonal cong b many mw flow many get cut da ha basis 5 beep stack 6 load generation bids da sc 7 real time production plant,california
great news ferc order morgan stanley complaint iso dan douglass summarized really puts ca iso notice cannot confiscate power seem ready ferc reiterates generators sell power wherever want cap cap iso purchases iso want set sale price cap file ferc wait 60 days amend contract forwarded susan j mara sfo ees 08 01 2000 01 01 daniel douglass douglass arterhadden com 07 31 2000 07 27 24 pm peter bray att net jbarthrop electric com mnelson electric com rschlanert electric com bruno gaillard enron com kmagrude enron com mpetroch enron com susan j mara enron com athomas newenergy com bchen newenergy com jeff hanson phaser com anchau shellus com andrew madden utility com ben reyes utility com chris king utility com david bayless utility com cc subject ferc order morgan stanley complaint iso good news iso price caps front ferc made clear iso ability mandate generators sell iso price caps proper response inadequate supply lift price caps friday ferc issued order complaint connection july 10 complaint filed morgan stanley capital group inc ms may recall ms requested ferc issue stay iso maximum purchase price authority direct iso reverse price cap reductions ms sought fast track processing pursuant rule 206 h granted ferc grounds complaint warrants expeditious action quick background summary last november ferc issued order approving tariff amendment 21 extended iso price cap authority 11 15 00 order stated iso maximum purchase price cap seller may charge iso cap iso willing pay commission said sellers dissatisfied price cap could choose sell services california power exchange bilateral markets ferc notes friday order 6 28 iso board resolution lowered caps 500 iso directed extent permitted law regulation pre existing contract management shall direct generators bid capacity system load exceeds 38 000 mw ms complaint alleged cap reduction unlawful would threaten stability integroty marketplace ms also requested emergency technical conference examine iso justification price cap reduction ferc denied ms stay request well request 750 maximum purchase price reinstated commission reiterates approving cap sellers prices sell whatever price want rather iso simply stated maximum price willing pay sellers required sell iso iso cannot dictate price importantly however ferc also states iso less ability procure capacity energy buyer services iso unable elicit sufficient supplies announced purchase price ceiling generators free sell elsewhere choose raise purchase price level necessary meet needs emphasis added ferc notes may lead increase market oom calls oom calls subject maximum purchase price also regard iso resolution stating generators must bid capacity iso markets system load exceeds 38 000 mw ferc states clearly requirement permitted november 12 order iso tariff emphasis added ferc goes say requirement sell iso conjunction maximum purchase price would require significant revisions iso market rules could made effective without corresponding amendment iso tariff would require 60 days advance notice could implemented prior commission approval stated november 12 order clearly based premise proper response inadequate supply due low maximum purchase price raise maximum purchase price iso put notice amendment mandate sales must accompanied demonstration extreme measure proper response low supplies iso markets concurrences filed commissioners massey hebert massey suggests state facilitate solutions market issues risk management tools removing constraints hedging opportunities introducing real time pricing real time metering expediting approval new generation transmission projects california hebert says previous november order tried straddle fence today commission least starts lean slightly right direction recognizing role reiterates preference removing price caps also suggests getting bottom problem view requires us begin proceeding rescind approval iso operator california grid record supports move refers approvingly collins resignation letter stating thoughtfully outlines consequences market return command control hebert states independence iso governing structure stands threatened stand quote resignation letter hebert advocates opening section 206 proceeding part recently announced inquiry bulk power markets including california markets decision makes clear iso cannot lower caps tomorrow meeting expect sellers required sell price important development good news ongoing efforts seek economic sanity iso please call questions dan,california
caiso notice posting additional appendices support cmr commendation market participants iso posted following materials regarding caiso congestion management reform cmr recommendation congestion management reform recommendation version posted july 11th exception corrected typographical errors appendix terminology acronyms glossary various terms acronyms used throughout cmr recommendation package appendix b locational price dispersion study summarizes areas empirical study iso currently engaged describes objective design preliminary results iso analysis dispersion locational prices throughout iso control area appendix assessment cmr design recommendation respect stakeholder evaluation criteria compares cmr recommendation specific evaluation criteria agreed iso market participants first stakeholder meetings appendix e congestion management redesign options adopted cmr recommendation appendix g system impacts summarizes anticipated impact cmr recommendation iso primary systems si sa bbs ftr ems etc purpose appendix provide detailed cost benefit evaluation proposal believe would entirely subjective little value appendix h intra zonal congestion management mitigation costs 1999 application local reliability areas intent publicly distribute appendix c identified mid august final draft recommendation package publicly distributed provided board late august provide following additional appendices well updated versions identified appendix c market separation study objectives design preliminary results ongoing study undertaken connection congestion management reform process appendix f summary stakeholder comments california iso congestion management proposals summary stakeholder comments received date various proposals concepts incorporated recommendation package find appendices along original proposal feedback form http www caiso com clientserv congestionreform html byron woertz director client relations,california
caiso notice friday august 25 iso governing board conference ca market participants iso noticed teleconference governing board friday august 25 discuss underscheduling forward markets link take meeting notice information conference call numbers http www caiso com meetings docs 000825noticeofbogspecialmtg pdf advance materials provided governing board members posted noticed via email fuller director client relations,california
caiso notice congestion management reform stakeholder meetings market participants yesterday announcement cmr stakeholder meeting schedule changes learned conflict previously scheduled meetings august 15 affected many active cmr process result rescheduled stakeholder meetings discuss details cmr recommendation august 16 18 give specifics meetings soon available byron woertz director client relations,california
caiso notice cmr comments deadline friday july 28 5pm market participants couple friendly reminders 1 deadline submit preliminary comments cmr recommendation tomorrow friday july 28 2000 5 00pm 2 please remember need use template provided download template caiso website http www caiso com clientserv congestionreform html scroll congestion management reform recommendation draft feedback form highlighted yellow questions please feel free contact either assistant colleen grant thank advance timely responses adherence using template provided byron woertz director client relations,california
caiso notice changes cmr stakeholder meeting schedule market participants notice inform iso canceling cmr stakeholder meetings scheduled august 4 august 8 order responsive stakeholders needs greater detail articulated two recent stakeholder meetings july 19 25 know july 13 14 introduction cme recommendation scheduled additional meetings july 19th 25th august 4th 8th discuss element recommendation greater detail received many questions requests change parts recommendation past weeks result determined needed time internal discussion order give level detail would allow meaningful discussion specific recommendations potential modifications allow us address questions suggested changes rescheduled detailed discussions three consecutive days august 15 17 meetings address ftrs day ahead hour ahead congestion management recallable transmission real time operations new generator interconnection policy long term grid planning questions issues local reliability service arose july 25 stakeholder meeting also meet august 25 discuss iso final recommendation iso governing board apologize inconvenience change caused believe taking time develop details topics allow productive discussions byron woertz director client relations,california
cpuc confidentiality proposal attached word document cpuc confidentiality proposal referred previous e mail referencing cpuc supoena deadline market participants scheduling coordinators attached please find cpuc legal division staff draft confidentiality proposal jeanne sol regulatory counsel california iso 916 608 7144 foregoing e mail communication together attachments thereto intended designated recipient terms may confidential protected attorney client privilege applicable privileges unauthorized use dissemination distribution reproduction message strictly prohibited 7 25cpucconfidentiality proposal doc,california
cpuc supoena deadline market participants scheduling coordinators iso posted cpuc subpoena website http www caiso com docs 2000 07 26 2000072610262610454 pdf http www caiso com docs 2000 07 26 2000072610262610454 pdf stated message forwarded yesterday market participants scheduling coordinators cpuc agreed extend deadline reply friday july 28 although iso informed today extension noon friday addition iso discussed reference affidavit subpoena cpuc informed results typo corrected corrected document sent federal express iso yesterday words attached affidavit replaced word attachments iso accepted federal express service subpoena iso raised confidentiality concerns cpuc cpuc agreed circulate draft confidentiality agreement iso today iso forward draft market participants scheduling coordinators soon receive iso reiterates market participants extent outstanding issues subpoena raised directly appropriate entity iso intends comply subpoena friday unless receives legally sufficient communication contrary cpuc court finally market participants requested iso make available several letters forwarded eob discussing confidential treatment letters attached questions directed jeanne sol 916 608 7144 jeanne sol regulatory counsel california iso 916 608 7144 foregoing e mail communication together attachments thereto intended designated recipient terms may confidential protected attorney client privilege applicable privileges unauthorized use dissemination distribution reproduction message strictly prohibited 7 24draft letter eob iso 1 doc 7 25eobsuboffer doc,california
caiso notice extension response cpuc subpoena response eob subpoena market participants scheduling coordinators iso obtained extension time comply cpuc subpoena received fax yesterday evening hard copy morning copy subpoena posted web site tomorrow iso required respond friday july 28 cpuc considering requests confidential treatment accordance iso tariff market participants discretion cost take steps obtain confidential treatment data inform iso iso comply responsibility support efforts questions matter directed jeanne sole 916 608 7144 iso respond eob subpoena today jeanne sol regulatory counsel california iso 916 608 7144 foregoing e mail communication together attachments thereto intended designated recipient terms may confidential protected attorney client privilege applicable privileges unauthorized use dissemination distribution reproduction message strictly prohibited,california
caiso notification attention requested 10 minute settlement mar ket simulation ii market participants attention settlements scheduling personnel participation requested second iteration 10 minute settlement market simulation communicated 7 20 00 iso postponed august 1 2000 implementation 10 minute settlements order accommodate additional end end testing market simulation iso new target implementation last week august 2000 contingent upon successful completion second 10 minute settlement market simulation iso 10 day written notice ferc second 10 minute settlement market simulation scheduled begin tuesday august 1 2000 iso hold kickoff meeting conference call thursday july 27 1 30 3 00 p summarize status first market simulation discuss second market simulation logistics review market simulation plan market participants strongly urged participate simulation identify outstanding issues may affect implementation scheduling coordinators iso please respond cathy young cyoung caiso com 3 00 p friday intend participate remainder message contains kickoff meeting agenda market simulation schedule necessary system set documentation simulation 10 minute settlement market simulation ii kickoff conference call july 27 1 30 3 00 p conference number 877 670 4111 passcode 246870 agenda review first market simulation system requirements ads si metering meter data refer attached document metering august mkt sim1 mdas online work around schedule data requirements rmr dispatch oos interties predispatch sc provide da market supplemental energy bid data proposed market simulation schedule refer attached detailed test plan monday july 31 ads si metering connectivity tuesday august 1 da market run td 8 2 00 wednesday august 2 real time market td 8 2 00 11 17 da market run td 8 3 00 thursday august 3 real time market td 8 3 00 11 17 friday august 4 run settlements 8 2 00 monday august 7 run settlements 8 3 00 publish settlements 8 2 00 tuesday august 8 publish settlements 8 3 00 wednesday august 9 market participant review thursday august 10 market participant review friday august 11 conference call review market sim attached please find following documentation use setting systems market simulation ads market simulation configuration b ads par installation c software configuration si development system important use information prepare system setup asap may necessary department allow traffic firewalls ads market simulation ip address port please refer ads market simulation configuration document detailed instructions interested verbally receiving rmr pre dispatches market simulation please let cathy young know sign may contact christine vangelatos cvangelatos caiso com 916 351 2142 questions concerns regarding ads si configuration crcommunications client relations communications ads market simulation configuration instructions doc ads par installation ppt configuredev1 doc 10 min market simulation test script 2 doc metering august mkt sim doc ads market simulation configuration instructions doc ads par installation ppt configuredev1 doc 10 min market simulation test script 2 doc metering august mkt sim doc,california
caiso notice congestion management reform cmr stakeholder mee tings market participants know next cmr stakeholder meeting tomorrow also hold following cmr stakeholder meetings details follow august 4 ftrs da ha congestion management recallable transmission august 8 real time market new generator interconnection policy long term grid planning please remember also preliminary comments cmr recommendation due bwoertz caiso com mailto bwoertz caiso com 5 00 p pdt friday july 28 possible would appreciate receiving comments july 28 deadline thank continuing interest participation project byron woertz director client relations,california
caiso notification scheduling non firm counter flows market participants several market participants engaged practice scheduling large amounts non firm counter flows congested branch groups order earn hour ahead congestion revenues providing counter flows real time occurred stage 1 emergency 7 20 00 practice creates significant reliability problem iso detriment market efficiency notice intended inform market participants iso department market analysis considers potentially serious gaming practice defined iso tariff mmip 2 1 3 iso dma investigating market participant found engaging activity take appropriate corrective actions crcommunications client relations communications,california
caiso notice appendices congestion management reform recomme ndation market participants iso released congestion management reform cmr recommendation july 11 indicated would subsequently release additional appendices supporting information friday july 21 appendices terminology acronyms b locational price dispersion study results released july 11 along draft cmr recommendation unfortunately unable complete according schedule release individual appendices finalized intention releasing following appendices friday july 28 appendix assessment cmr recommendation respect stakeholder evaluation criteria appendix e discussion cmr options adopted appendix f stakeholder input cmr recommendation package appendix g preliminary assessment iso stakeholder system impacts appendix h additional forward market rmr cost data supporting lra recommendations planning release appendix c market separation study results august 15 apologize delay thank patience byron woertz dcr,california
memorandum stakeholders distributed generation additional details regarding meeting sent monday august 21 2000 original message sole jeanne sent friday august 18 2000 4 15 pm fuller happ susan subject memorandum stakeholders distributed generation attached please find document providing basis meeting distributed generation scheduled august 31 jeanne sol regulatory counsel california iso 916 608 7144 foregoing e mail communication together attachments thereto intended designated recipient terms may confidential protected attorney client privilege applicable privileges unauthorized use dissemination distribution reproduction message strictly prohibited 8 18memotostakeholders doc,california
caiso notice stakeholder meeting congestion reform lrs proc urement market participants attached preliminary agenda july 25 cmr stakeholder meeting held room 101a 101b blue ravine road folsom preliminary agenda 7 25 00 day start continental breakfast 8 30am meeting start 9 00am also serving lunch approximately 12noon order make sure order enough food request rsvp later friday july 21 4 00pm please contact colleen grant via email cgrant caiso com telephone 916 608 7069 able attend call information phone number 877 381 6004 conference id 527256 leader name byron woertz thank byron woertz director client relations preliminary agenda 7 25 00,california
infeasible schedule bob sorry confusion talk ziad said example could found page 22 attached document http www caiso com docs 2000 04 13 2000041317243312125 pdf take care keoni almeida california independent system operator phone 916 608 7053 pager 916 814 7352 alpha page 9169812000 1151268 pagenet net e mail mailto kalmeida caiso com,california
caiso notice staqkeholder feedback congestion reform proposa l market participants california iso values stakeholders comments congestion management reform cmr proposal released july 11 2000 positive negative responses essential guide us refining cmr recommendation prepared attached template use submitting comments receiving comments format enable us understand respond input efficiently also post template http www caiso com clientserv congestionreform html http www caiso com clientserv congestionreform html heading congestion management reform recommendation draft first section ask respond following two questions summary answers bulleted lists etc fine 1 fundamental market design features principles identified proposal kept 2 fundamental market design features principles identified proposal removed second section please provide detailed comments specific sections proposal using template provided structured template facilitate detailed comments sections 4 7 8 9 10 appendices b since sections contain main features proposal template also includes space general comments sections 1 2 3 5 11 since section 6 overview proposal included comment section template section ask comments include main features think retained main features think removed modified please specific would modify feature address problem identified features details think missing added suggest adding feature three parts recommend changing proposal necessary us respond comments would like emphasize need receive comments features proposal like reviews tend focus features reviewers dissatisfied without hearing support features stakeholders like possible broadly supported features could changed eliminated based others stated disagreement please submit initial comments 5 00 p pdt friday july 28 opportunities feedback would like include summary stakeholders initial comments discussion iso governing board august 1 please send comments using attached template via e mail bwoertz caiso com mailto bwoertz caiso com use phrase cmr proposal stakeholder comments subject line plan treat comments public include summary stakeholders comments materials go iso governing board ferc california iso greatly appreciates time effort expertise stakeholders contributed cmr process look forward receiving valuable comments allow us refine improve proposal 000714 stakeholder feedback template doc byron woertz director client relations 000714 stakeholder feedback template doc,california
caiso notice valley rainbow transmission project market participants may iso governing board meeting board directed management bring back board recommendation parameters process proceeding competitive solicitation valley rainbow rfp determine cost effective reliable alternatives sdg e proposed valley rainbow transmission project specific board motion found http www1 caiso com pubinfo bog documents motions 20000525 board sdgevalle yrainbow500kvproject htm http www1 caiso com pubinfo bog documents motions 20000525 board sdgevall eyrainbow500kvproject htm additional information project found http www caiso com thegrid planning sdge500kvtrans html http www caiso com thegrid planning sdge500kvtrans html matters scheduled addressed august 1 board meeting attached memo outlines iso management preliminary thoughts recommendations structure process conducting parameters valley rainbow rfp please provide us thoughts feedback matters later cob friday july 21 please send comments sgreenleaf caiso com mailto sgreenleaf caiso com btheaker caiso com mailto btheaker caiso com recommendations outlined clearly work progress imperative receive substantive feedback early develop fair reasonable final recommendation thanks time consideration 000711 stg valley rainbow market participants rtf steve greenleaf director regulatory affairs brian theaker manager reliability contracts 000711 stg valley rainbow market participants rtf,california
caiso notice congestion reform proposal apendix b market participants part congestion management reform proposal iso posted appendix b locational price dispersion study iso web site http www caiso com clientserv congestionreform html http www caiso com clientserv congestionreform html please aware file large word version 5 1 mb pdf version somewhat smaller 4 3 mb take download byron woertz director client relations,california
